claim_address,amount
0x0000000000009cbfbceea07711dd557BbffbFc6b,4000
0x0000000000F3e40730aB6Aa40e926FCDe8A4db53,8412
0x00000000037a08cE8c4917A5C58F40c85367Df0c,26028
0x00000000051CBcE3fD04148CcE2c0adc7c651829,46368
0x000000009Aa6B7A6Bf8D5fC03C583c2Df4757F34,17518
0x00000000C001E13b7b74B7AA01AfD9C77F907a7A,36502
0x0000000188e3604489698eA73DE28524F2beA6C6,15493
0x000000055f6693f0606C325C38BfeD9b5E7588EC,12000
0x0000000F08B4293BA4D9827f7ba7aB694af344C3,62964
0x0000000c50489Ced5f512C74Fb11Ba9af3a03E13,71046
0x0000001f1C5F0D3D5Ec4ADDFf332a9502465cF26,2000
0x000000209e0a892842bC06c354e7D097392Cbbbb,19512
0x0000005178D55139Ba21423218EA7290a7cCDC81,11634
0x0000006D14cE3CF81449c3BA1f26108DF0A4de8b,12000
0x000000805f83aD642c755E51A169AfcbB006a75C,5517
0x00000082Bc916568Cb4479D3a218daFa60eBBA25,25000
0x000000A5aa50833cBDD1a6c8F484058c1323f042,11780
0x000000B9054e79892A1097f4E02e7AA42de22c0C,94215
0x000000E5aE8F840C51FDBD43CbFC5e5654FDc1bE,24741
0x000000Fa6E634D6d555BFF2542E41176eF9dd6c6,3465
0x000000e28fAA823d5B53ff6C2922c28335840375,6778
0x000000f2913ac0E78f1b403A6Fabc8E3ac281835,150000
0x0000014ffa35ED6Ad0D5c9c079c908716c113EB8,50522
0x0000049348454fb7B682260F72011087923f6Ed2,19111
0x00000655388D579492CF53ca6F490EaA30711112,35950
0x000006eee6e39015cB523AeBDD4d0B1855aBa682,8395
0x00000B7A7A859F1b7aB55579fD4e7b0b22064F3d,65612
0x00000De48257DBEccf0716B82562f0471fe0dead,10320
0x00000F1DfAe8e4A7d9D0D6d0E96F422CF41C6407,17148
0x00001EeeB6F8Ca55c9d956fBa882CD977a42B933,32080
0x00005fF7b4E62B6b868D36809F8a30c85A6D0000,39712
0x00007fCf2649756581146e40836E25e6109f9338,22092
0x000088842568B4448f6b05A6b12E2E9B29229FBA,3000
0x00008e511292F1f42667Cd99239127cF4CF0422A,102353
0x0000AA99E12ad566e4C97882296076023d123CFE,38223
0x0000CE08fa224696A819877070BF378e8B131ACF,136205
